Original 151 Pokemon
name,type1,type2,hp,atk,def,sp_atk,sp_def,speed,stat_total,moves
43,Oddish,Grass,Poison,45,50,55,75,65,30,320,
44,Gloom,Grass,Poison,60,65,70,85,75,40,395,
45,Vileplyme,Grass,Poison,75,80,85,100,90,50,480,
46,Paras,Bug,Grass,35,70,55,45,55,25,285,
47,Parasect,Bug,Grass,60,95,80,60,80,30,405,
48,Venonat,Bug,Poison,60,55,50,40,44,305,
49,Venomoth,Bug,Poison,70,65,60,90,75,90,450,
50,Diglett,Ground,,10,55,25,35,45,95,265,
51,Dugtrio,Ground,,35,80,50,50,70,120,405,
52,Meowth,Normal,,40,45,35,40,40,90,290,
53,Persian,Normal,,65,70,60,65,65,115,440,
54,Psyduck,Water,,50,52,48,65,50,55,320,
55,Golduck,Water,,80,82,78,95,80,85,500,
56,Mankey,Fighting,,40,80,35,35,45,70,305,
57,Primeape,Fighting,,65,105,60,60,70,95,455,
58,Growlithe,Fire,,55,70,45,70,50,60,350,
59,Arcanine,Fire,,90,110,80,100,80,95,555,
60,Poliwag,Water,,40,50,40,40,40,90,300,
61,Poliwhirl,Water,,65,65,65,50,50,90,385,
62,Poliwrath,Water,Fighting,90,85,95,70,90,70,500,
63,Abra,Psychic,,25,20,15,105,55,90,310,
64,Kadabra,Psychic,,40,35,30,120,70,105,400,
65,Alakazam,Psychic,,55,50,45,135,85,120,490,
66,Machop,Fighting,,70,80,50,35,35,35,305,
67,Machoke,Fighting,,80,100,70,50,60,45,405,
68,Machamp,Fighting,,90,130,80,65,85,55,505,
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,300,
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,390,
71,Victreebel,Grass,Poison,80,105,65,100,60,70,480,
72,Tentacool,Water,Poison,40,40,35,50,100,70,335,
73,Tentacruel,Water,Poison,80,70,65,80,120,100,515,
74,Geodude,Rock,Ground,40,80,100,30,30,20,300,
75,Graveler,Rock,Ground,55,95,115,45,45,35,390,
76,Golem,Rock,Ground,80,110,130,55,65,45,485,
77,Ponyta,Fire,,50,85,55,65,65,90,410,
78,Rapidash,Fire,,65,100,70,80,80,105,500,
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,315,
80,Slowbro,Water,Psychic,95,75,110,100,80,30,490,
81,Magnemite,Electric,Steel,25,35,70,95,55,45,325,
82,Magneton,Electric,Steel,50,60,95,120,70,70,465,
83,Farfetch'd,Normal,Flying,52, 65,55,58,62,60,352,
84,Doduo,Normal,Flying,35,85,45,35,35,75,310,
85,Dodrio,Normal,Flying,60,110,70,60,60,100,460,
86,Seel,Water,,65,45,55,45,70,45,325,
87,Dewgong,Water,Ice,90,70,80,70,95,70,475,
88,Grimer,Poison,,80,80,50,40,50,25,325,
89,Muk,Poison,,105,105,75,65,100,50,500,
90,Shelder,Water,,30,65,100,45,25,40,305,
91,Cloyster,Water,Ice,50,95,180,85,45,70,525,
92,Gastly,Ghost,Poison,30,35,30,100,35,80,310,
93,Haunter,Ghost,Poison,45,50,45,115,55,95,405,
94,Gengar,Ghost,Poison,60,65,60,130,75,110,500,
95,Onix,Rock,Ground,35,45,160,30,45,70,385,
96,Drowzee,Psychic,,60,48,45,43,90,42,328,
97,Hypno,Psychic,,85,73,70,73,115,67,483,
98,Krabby,Water,,30,105,90,25,25,50,325,
99,Kingler,Water,,55,130,115,50,50,75,475,
100,Voltorb,Electric,,40,30,50,55,55,100,330,
101,Electrode,Electric,,60,50,70,80,80,140,480,
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,325,
103,Exeggutor,Grass,Psychic,95,95,85,125,65,55,520,
104,Cubone,Ground,,50,50,95,40,50,35,320,
105,Marowak,Ground,,60,80,110,50,80,45,425,
106,Hitmonlee,Fighting,,50,120,53,35,110,87,455,
107,Hitmonchan,Fighting,,50,105,79,35,110,76,455
108,Lickitung,Normal,,90,55,75,60,75,30,385,
109,Koffing,Poison,,40,65,95,60,45,35,340,
110,Weezing,Poison,,65,90,120,85,70,60,490,
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,345,
112,Rhydon,Ground,Rock,105,130,120,45,45,40,485,
113,Chansey,Normal,,250,5,5,35,105,50,450,
114,Tangela,Grass,,65,55,115,100,40,60,435,
115,Kangaskhan,Normal,,105,95,80,40,80,90,490,
116,Horsea,Water,,30,40,70,70,25,60,295,
117,Seadra,Water,,55,65,95,95,45,85,440,
118,Goldeen,Water,,45,67,60,35,50,63,320,
119,Seaking,Water,,80,92,65,65,80,68,450,
120,Staryu,Water,,30,45,55,70,55,85,340,
121,Starmie,Water,,60,75,85,100,85,115,520,
122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,460,
123,Scyther,Bug,Flying,70,110,80,55,80,105,500,
124,Jynx,Ice,Psychic,65,50,35,115,95,95,455,
125,Electabuzz,Electric,,65,83,57,95,85,105,490,
126,Magmar,Fire,,65,95,57,100,85,93,495,
127,Pinsir,Bug,,65,125,100,55,70,85,500,
128,Tauros,Normal,,75,100,95,40,70,110,490,
129,Magikarp,Water,,20,10,55,15,20,80,200,
130,Gyarados,Water,Flying,95,125,79,60,100,81,540,
131,Lapras,Water,Ice,130,85,80,85,95,60,535,
132,Ditto,Normal,,48,48,48,48,48,48,288,
133,Eevee,Normal,,55,55,50,45,65,55,325,
134,Vaporeon,Water,,130,65,60,110,95,65,525,
135,Jolteon,Electric,,65,65,60,110,95,130,525,
136,Flareon,Fire,,65,130,60,95,110,65,525,
137,Porygon,Normal,,65,60,70,85,75,40,395,
138,Omanyte,Rock,Water,
139,Omastar,Rock,Water,
140,Kabuto,Rock,Water,
141,Kabutops,Rock,Water,
142,Aerodactyl,Rock,Flying
143,Snorlax,Normal,,
144,Articuno,Ice,Flying,
145,Zapdos,Electric,Flying,
146,Moltres,Fire,Flying,
147,Dratini,Dragon,,
148,Dragonair,Dragon,,
149,Dragonite,Dragon,Flying,
150,Mewtwo,Psychic,,
151,Mew,Psychic,,
